"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21413,135,"MWI","Malawi",18,"Nkhotakota",175,"TA Kanyenda","","","Traditional Authority","Traditional Authority"
21414,135,"MWI","Malawi",18,"Nkhotakota",176,"TA Malenga Chanzi","","","Traditional Authority","Traditional Authority"
21415,135,"MWI","Malawi",18,"Nkhotakota",177,"TA Mwadzama","","","Traditional Authority","Traditional Authority"
21416,135,"MWI","Malawi",19,"Nsanje",178,"Mwabvi Game Reserve","","","Reserve","Reserve"
21417,135,"MWI","Malawi",19,"Nsanje",179,"Nsanje Boma","","","Boma","Headquarter"
21418,135,"MWI","Malawi",19,"Nsanje",180,"SC Makoka","","","Sub-chief","Sub-chief"
21419,135,"MWI","Malawi",19,"Nsanje",181,"SC Mbenje","","","Sub-chief","Sub-chief"
21420,135,"MWI","Malawi",19,"Nsanje",182,"TA Chimombo","","","Traditional Authority","Traditional Authority"
21421,135,"MWI","Malawi",19,"Nsanje",183,"TA Malemia","","","Traditional Authority","Traditional Authority"
21422,135,"MWI","Malawi",19,"Nsanje",184,"TA Mlolo","","","Traditional Authority","Traditional Authority"
21423,135,"MWI","Malawi",19,"Nsanje",185,"TA Ndamera","","","Traditional Authority","Traditional Authority"
21424,135,"MWI","Malawi",19,"Nsanje",186,"TA Ngabu","","","Traditional Authority","Traditional Authority"
21425,135,"MWI","Malawi",19,"Nsanje",187,"TA Nyachikadza","","","Traditional Authority","Traditional Authority"
21426,135,"MWI","Malawi",19,"Nsanje",188,"TA Tengani","","","Traditional Authority","Traditional Authority"
21427,135,"MWI","Malawi",20,"Ntcheu",189,"Ntcheu Boma","","","Boma","Headquarter"
21428,135,"MWI","Malawi",20,"Ntcheu",190,"SC Champiti","","","Sub-chief","Sub-chief"
21429,135,"MWI","Malawi",20,"Ntcheu",191,"SC Goodson Ganya","","","Sub-chief","Sub-chief"
21430,135,"MWI","Malawi",20,"Ntcheu",192,"SC Makwangwala","","","Sub-chief","Sub-chief"
21431,135,"MWI","Malawi",20,"Ntcheu",193,"TA Chakhumbira","","","Traditional Authority","Traditional Authority"
21432,135,"MWI","Malawi",20,"Ntcheu",194,"TA Kwataine","","","Traditional Authority","Traditional Authority"
